新款	新款，读音xīn kuǎn，汉语词语，指新的款式。
可爱	可爱，意思是令人敬爱的，也指令人喜爱的,讨人喜欢的,深受热爱的。字面意义为令人喜爱，原本含义为在幼小或初生的、柔弱的生物或类幼儿事物身上体现出的令三观正常的人产生正面的愉悦进而喜爱的情绪特征。现在它可以在精神层面用来形容天真无邪，心灵单纯、美。有些阳光型大男孩或者妙龄少女也可用可爱形容，较少用来形容拥有童心的成年人或老年人。可爱在某一方面与呆综合在一起用在老实人身上可指“憨”，也可指“萌”。
卡通	卡通：英语卡通：蔷薇属栽培品种
童装	儿童服装简称童装，指适合儿童穿着的服装。按照年龄段分包括婴儿服装、幼儿服装、小童服装、中童服装、大童服装等。还包括中小学的校园服装等。按照衣服的类型分为：连体服，外套，裤子，卫衣，套装，T恤衫，鞋等。童装衣服的料子要求比成人高，既要好看，穿着又要舒服，关键还是童装质量要有保证，不能损害儿童健康。
单肩	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
中式	中式是一个汉语词汇，读音为zhōng shì，多重意思。现代常指中国固有的格式，如：中式餐点、中式餐具等。在古代指科举考试被录取或符合规格的意思。
防滑	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
玩具	玩具，泛指可用来玩的物品，玩玩具在人类社会中常常被作为一种寓教于乐的方式。玩具也可以是自然物体，即是沙、石、泥、树枝等等的非人工东西，对玩具应作广义理解，它不是只限于街上卖的供人玩的东西，凡是可以玩的、看的、听的和触摸的东西，都可以叫玩具。玩具适合儿童，更适合青年和中老年人。它是打开智慧天窗的工具，让人们机智聪明。
跑步	跑步的定义是指陆生动物使用足部移动。它在运动上的定义是一种步伐，双脚不会同一时间踫到地面。它亦可以是一种有氧的运动或厌氧的运动。
商务	商务概念的提出是改革的产物，有一个演变的过程：贸易部——商业部、外贸部——内贸部——内贸局——商务部。是内外贸一体化的概念。
韩国	大韩民国（韩语：대한민국，英语：Republic of Korea），简称“韩国”（South Korea）。位于东亚朝鲜半岛南部，总面积约10万平方公里（占朝鲜半岛面积的45%），主体民族为韩民族，通用韩语，总人口约5164万。首都为首尔。韩国三面环海，西濒临黄海，东南是朝鲜海峡，东边是日本海，北面隔着三八线非军事区与朝鲜相邻。1910年朝鲜半岛沦为日本殖民地，1945年8月15日光复取得独立。1948年8月和9月，依北纬38度线，朝鲜半岛南北先后成立大韩民国和朝鲜民主主义人民共和国。1950年爆发朝鲜战争，1953年7月27日依朝鲜停战协定，朝韩双方停战。20世纪60年代以来，韩国政府实行了“出口主导型”开发经济战略，创造了被称为“汉江奇迹”的经济高速增长期，并跻身“亚洲四小龙”之一。
针织	利用织针把各种原料和品种的纱线构成线圈、再经串套连接成针织物的工艺过程。针织物质地松软，有良好的抗皱性与透气性，并有较大的延伸性与弹性，穿着舒适。针织产品除供服用和装饰用外，还可用于工农业以及医疗卫生和国防等领域。针织分手工针织和机器针织两类。手工针织使用棒针，历史悠久，技艺精巧，花形灵活多变，在民间得到广泛流传和发展。
运动鞋	运动鞋是根据人们参加运动或旅游的特点设计制造的鞋子。运动鞋的鞋底和普通的皮鞋、胶鞋不同，一般都是柔软而富有弹性的，能起一定的缓冲作用。运动时能增强弹性，有的还能防止脚踝受伤。所以，在进行体育运动时，大都要穿运动鞋，尤其是高烈度体能运动，如：篮球、跑步等。
特产	特产指某地特有的或特别著名的产品，有文化内涵或历史，亦指只有在某地才生产的一种产品。在英文中，特产译作speciality product或Specialty，后者特指“特制独特品种或具有特殊优势的项目或产品”（An item or a product of a distinctive kind or of particular superiority），强调品质上具有“特别的或独特的状况或品质”（The quality of being special or distinctive）。有时为了强调特产的地域特性，使用special local product来表示地方特产，相当于汉语中的“土特产”的概念。例如云南特产的取名就是根据特产加上民族文化来取的。
棉服	棉服是以棉花、羽绒等物料为填充制作而成，用于防寒的服饰。长棉服经常被认为是臃肿的代表，害怕变胖的MM都不穿棉服了，土气又不漂亮。其实，棉服搭配得体，一样会显得高挑的。
薄款	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
新品	《新品》是作者 逆天良少发表在 幻剑书盟连载网站的一本小说。
黑色	黑色基本上定义为没有任何可见光进入视觉范围，与白色正相反，白色是所有可见光光谱内的光都同时进入视觉范围内。颜料如果吸收光谱内的所有可见光，不反射任何颜色的光，人眼的感觉就是黑色的。如果将三原色的颜料以恰当的比例混合，使其反射的色光降到最低，人眼也会感觉为黑色。所以黑色既可以是缺少光造成的（漆黑的夜晚），也可以是所有的色光被吸收造成的（黑色的瞳孔）。从宇宙观的角度讲，黑是宇宙的本质，即为宇宙的真实面目。
厨房	厨房，是指可在内准备食物并进行烹饪的房间，一个现代化的厨房通常有的设备包括炉具（瓦斯炉、电炉、微波炉或烤箱）、流理台（洗碗槽或是洗碗机）及储存食物的设备（例如：冰箱、冰柜）。纵观中国历史上厨房格局的演变，它一方面取决于生产力的发展，另一方面也决定于当地的自然条件和居民的生活习惯。通过不同时期的演变，厨房的功能性逐渐走向合理。
ins	INS是Incident Notification System的缩写，意思是智能安全模块，可实现HELP键紧急求助、碰撞求助、防盗报警、位置查询的功能，通过车内置的一张SIM卡对应一个手机号来实现。
蕾丝	女同性恋，又称女同、拉拉、百合、蕾丝边、Lesbian、Les、 Girlslove。是指只对同性产生爱情和性欲的女性。尽管自古以来女同性恋曾被记载于多处文化中，但是直至今日才出现蕾、蕾丝边、拉拉等字词，用以形容女同性恋者。十九世纪晚期，性学家发表了他们对同性欲望与行为表现的研究，标明了女同性恋者在西方文化中是属于独立的群体。因此，意识到自身新医学身份的女性逐渐在欧洲与北美洲形成秘密次文化。黑色三角形代表着女同性恋的身份标识，它来源于纳粹德国，当时使用它在集中营中区分被认为是“反社会”的女性（例如：对纳粹家庭价值观构成威胁的人）。如果有女人反对生育或反对传统家庭价值观，则会被冠上黑色倒三角形。现在黑色三角形是作为女同性恋自豪的标志。
牛皮	牛皮是动物牛的表皮，因皮质细腻，牢固耐用，常被用于工艺品。牛皮也是一个汉语词汇，可比喻物品柔软而有韧性，也可指虚套的话。
置物架	置物架是采用底板及支柱组合而成放置杂物的架子。多由条形支架支撑，加以底板作承托，造型独特，设计灵巧，装卸简便，洁净亮丽，开放式的设计，令储物一眼可见。由于置物架在家庭生活中的应用越来越广泛，很多家庭生活用品种类也越来越多，所以需要一个可以进行整顿和归置这些生活用品的一个置物架，而置物架的设计非常的简洁和大方同时又具备灵巧，所以对于归置生活物品很有作用，关键是有利于生活物品能够很好的取拿不用很费力的寻找。
刺绣	刺绣是针线在织物上绣制的各种装饰图案的总称。刺绣分丝线刺绣和羽毛刺绣两种。就是用针将丝线或其他纤维、纱线以一定图案和色彩在绣料上穿刺，以绣迹构成花纹的装饰织物。它是用针和线把人的设计和制作添加在任何存在的织物上的一种艺术。刺绣是中国民间传统手工艺之一，在中国至少有二三千年历史。中国刺绣主要有苏绣、湘绣、蜀绣和粤绣四大门类。刺绣的技法有：错针绣、乱针绣、网绣、满地绣、锁丝、纳丝、纳锦、平金、影金、盘金、铺绒、刮绒、戳纱、洒线、挑花等等，刺绣的用途主要包括生活和艺术装饰，如服装、床上用品、台布、舞台、艺术品装饰。
大容量	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
补水	补水：美容概念补水：河道生态补水
日本	日本国（日语：にっぽんこく、にほんこく；英语：Japan），简称“日本”，位于东亚、国名意为“日出之国”，领土由北海道、本州、四国、九州四个大岛及6800多个小岛组成，总面积37.8万平方公里。主体民族为大和族，通用日语，总人口约1.26亿。日本三大都市圈是东京都市圈、大阪都市圈和名古屋都市圈。日本是一个太平洋西岸的岛国。西隔东海、黄海、朝鲜海峡、日本海与中国、朝鲜、韩国等国相望。属温带海洋性季风气候，终年温和湿润。6月多梅雨，夏秋季多台风。3世纪中叶，其境内出现大和国。645年，日本向中国唐朝学习，进行大化改新。12世纪后期，天皇皇
